age_group,decision_time_scale,t0_mean,t0_sd,score,condition_quantile_mae,condition_mean_mae,overall_quantile_mae,human_condition_gap,model_condition_gap,condition_gap_abs_error,caf_rmse,incongruent_caf_rmse,human_incongruent_error_minus_correct_rt,model_incongruent_error_minus_correct_rt,error_gap_abs_error
50-59,0.37,0.588,0.15,0.2445087672321987,0.04610915111982988,0.013068046098954234,0.04575168188116968,0.06460245427369793,0.08809874759513225,0.023496293321434325,0.01716974082506782,0.028299762779926404,-0.08676449919114704,-0.07236285209869342,0.014401647092453618
50-59,0.37,0.589,0.18,0.3233463077648262,0.07359560470757337,0.01238584387152003,0.07110103287249148,0.06460245427369793,0.08752592075477361,0.022923466481075683,0.017720045146669368,0.029865567913639222,-0.08676449919114704,-0.07405951413741707,0.012704985053729967
50-59,0.37,0.589,0.21,0.4042230585669004,0.10066159239952777,0.012703641644085661,0.09778599180876472,0.06460245427369793,0.08695309391441464,0.022350639640716707,0.018330302779823376,0.030784116327749366,-0.08676449919114704,-0.07575617617614039,0.011008323015006649
50-59,0.37,0.59,0.24,0.4834618960174242,0.1285736962390607,0.011804954746216012,0.1248681520393126,0.06460245427369793,0.08598996653240187,0.021387512258703945,0.018579558659989764,0.03117021105866949,-0.08676449919114704,-0.07718857972653403,0.009575919464613003
60-69,0.37,0.655,0.0,0.5574686639016394,0.13166249503832683,0.013879419965113271,0.09466667708338988,0.07344799848794936,0.1012068384181759,0.027758839930226542,0.07209715667070372,0.09197390934390036,-0.1256311610215025,-0.08094529459094613,0.04468586643055639
60-69,0.37,0.644,0.03,0.48335309312112673,0.11474440651930787,0.01385015930601552,0.09020035532615389,0.07344799848794936,0.1011483170999804,0.02770031861203104,0.03590543134401811,0.0694665387074957,-0.1256311610215025,-0.08358976415096975,0.042041396870532766
60-69,0.37,0.646,0.06,0.38039798670786495,0.08989393352444948,0.013820898646917656,0.07610344912253279,0.07344799848794936,0.10108979578178467,0.027641797293835313,0.02594609797252756,0.025011997121381562,-0.1256311610215025,-0.08623423371099315,0.039396927310509366
60-69,0.37,0.645,0.09,0.29536880859735576,0.06325286014350406,0.01379163798781985,0.055337536326173796,0.07344799848794936,0.10103127446358906,0.0275832759756397,0.024681977230359784,0.012328828005937915,-0.1256311610215025,-0.08887870327101688,0.036752457750485634
60-69,0.37,0.644,0.12,0.22655057282024063,0.0369903930611995,0.013762377328721986,0.03066964930886462,0.07344799848794936,0.10097275314539333,0.027524754657443973,0.025999999999999975,0.023731835158706097,-0.1256311610215025,-0.09152317283104039,0.034107988190462124
60-69,0.37,0.644,0.15,0.19054339379173954,0.022387116546331222,0.013733116669624179,0.019301342539787547,0.07344799848794936,0.10091423182719772,0.027466233339248358,0.025930676813380685,0.03098386676965931,-0.1256311610215025,-0.0941676423910639,0.031463518630438614
60-69,0.37,0.635,0.18,0.21111926899703273,0.027145526065297843,0.013703856010526372,0.026758307310535995,0.07344799848794936,0.1008557105090021,0.027407712021052744,0.026555602045519485,0.0364856136031724,-0.1256311610215025,-0.09681211195108741,0.028819049070415104
60-69,0.37,0.636,0.21,0.28877623454621915,0.052537224856277154,0.013674595351428509,0.05231146807134762,0.07344799848794936,0.10079718919080638,0.027349190702857018,0.026810445725500325,0.039191835884530825,-0.1256311610215025,-0.09945658151111103,0.026174579510391482
60-69,0.37,0.637,0.24,0.3725293906275381,0.08068056195168519,0.013644574692330713,0.079241173401708,0.07344799848794936,0.10073714787261079,0.027289149384661426,0.027107194616927784,0.04083136049655948,-0.1256311610215025,-0.10210105107113487,0.02353010995036764
70-79,0.37,0.722,0.0,0.5114953965468795,0.1156874945282402,0.01505195397848319,0.07801665880901315,0.0786145418861075,0.10852181612770095,0.02990727424159345,0.0736350057447406,0.08654312503248589,-0.12891993567140259,-0.08707815329341051,0.041841782377992076
