analysis_group,row_index,user_id,congruency,target_label,flanker_label,committed_winner,model_correct,commitment_step,commitment_time_s,pred_rt_s,target_state_at_commitment,strongest_wrong_state_at_commitment,target_minus_wrong_at_commitment,first_meaningful_step,first_meaningful_leader,first_meaningful_leader_wrong,any_wrong_leader_before_commitment,wrong_state_peak_before_commitment,distance_wrong_peak_to_threshold,precommit_reversal_step,precommit_reversal_time_s,trajectory_class,postcommit_target_recovery,postcommit_target_recovery_step,postcommit_recovery_delay_s,early_target_minus_flanker_input,rt_outcome_class,target_state_peak_before_commitment,early_target_evidence,early_flanker_evidence
young_20_29,25966,899,incongruent,1,3,1,True,39,0.39,0.856535473032357,0.12278027087450027,0.07498766481876373,0.04779260605573654,0,3,True,True,0.10087113827466965,0.01912886172533035,20,0.2,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.2493102252483368,FAST CORRECT,0.1207035630941391,0.27284857630729675,0.5221588015556335
young_20_29,6876,182,incongruent,1,3,1,True,36,0.36,0.978651952543939,0.12384003400802612,0.07942227274179459,0.04441776126623154,0,3,True,True,0.10209052264690399,0.017909477353096004,20,0.2,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.2498503178358078,SLOW CORRECT,0.12164115160703659,0.3095948398113251,0.5594450831413269
young_20_29,30488,677,incongruent,0,2,0,True,46,0.46,1.1056688206890954,0.1224200651049614,0.08402454107999802,0.03839552402496338,0,2,True,True,0.10927623510360718,0.010723764896392818,32,0.32,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.5087088346481323,SLOW CORRECT,0.12023270130157471,0.20898094773292542,0.7176898121833801
young_20_29,71133,3875,congruent,3,3,3,True,3,0.03,0.5906484815683853,0.13575850427150726,0.08597420156002045,0.049784302711486816,0,3,False,False,0.0961887463927269,0.023811253607273097,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12631015479564667,2.0801124572753906,2.0801124572753906
young_20_29,86167,5675,incongruent,0,3,0,True,28,0.28,0.704319861964134,0.12296263128519058,0.09092370420694351,0.03203892707824707,0,3,True,True,0.09979663789272308,0.020203362107276912,4,0.04,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,0.05385222285985947,FAST CORRECT,0.12041439861059189,0.5187511444091797,0.4648989140987396
young_20_29,63951,2918,congruent,3,3,3,True,6,0.06,0.6188908604446617,0.12666743993759155,0.07928267866373062,0.04738476127386093,0,3,False,False,0.09640508890151978,0.02359491109848022,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12247622758150101,1.296981692314148,1.296981692314148
young_20_29,24969,2918,incongruent,0,3,0,True,30,0.3,0.9390074778711239,0.12380315363407135,0.09471802413463593,0.029085129499435425,0,3,True,True,0.09963304549455643,0.02036695450544357,10,0.1,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.008342554792761803,SLOW CORRECT,0.12088979035615921,0.45236796140670776,0.4607105851173401
young_20_29,18081,182,incongruent,1,2,1,True,21,0.21,0.7708386486475384,0.12463785707950592,0.09513980895280838,0.02949804812669754,0,2,True,True,0.1015881672501564,0.018411832749843593,11,0.11,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.05090237408876419,FAST CORRECT,0.12172893434762955,0.49786511063575745,0.5487674474716187
young_20_29,13057,5256,congruent,2,2,2,True,4,0.04,0.41756376428123937,0.12619329988956451,0.08334197849035263,0.042851321399211884,0,2,False,False,0.09623811393976212,0.02376188606023788,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12038546055555344,1.5391590595245361,1.5391590595245361
young_20_29,13339,5256,congruent,1,1,1,True,4,0.04,0.5022741262003304,0.12988421320915222,0.08342020958662033,0.04646400362253189,0,1,False,False,0.09632968157529831,0.023670318424701686,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12329156696796417,1.6504935026168823,1.6504935026168823
young_20_29,50786,3875,incongruent,3,2,3,True,30,0.3,0.8129561205625649,0.12442813068628311,0.09146080911159515,0.03296732157468796,0,2,True,True,0.10422523319721222,0.015774766802787776,19,0.19,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.3007739186286926,FAST CORRECT,0.1220475509762764,0.30950284004211426,0.6102767586708069
young_20_29,63922,3875,incongruent,3,1,1,False,7,0.07,0.3416285013046403,0.10131765156984329,0.12401115149259567,-0.02269349992275238,0,1,True,True,0.12186998873949051,-0.0018699887394905135,-1,,WRONG-COMMITMENT -> ERROR,True,19.0,0.12,-0.6300725340843201,FAST ERROR,0.10047482699155807,0.5633122324943542,1.1933847665786743
young_20_29,66692,3875,congruent,1,1,1,True,5,0.05,0.5040234659536067,0.1270311176776886,0.08254022896289825,0.044490888714790344,0,1,False,False,0.09650623053312302,0.02349376946687698,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12217383831739426,1.422268271446228,1.422268271446228
young_20_29,9963,1478,congruent,0,0,0,True,2,0.02,0.42249839557515184,0.13449862599372864,0.08884788304567337,0.04565074294805527,0,0,False,False,0.096098892390728,0.023901107609272,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12198777496814728,2.3862369060516357,2.3862369060516357
young_20_29,14037,2918,congruent,3,3,3,True,6,0.06,0.4990684582460919,0.12701450288295746,0.08080731332302094,0.04620718955993652,0,3,False,False,0.09654700011014938,0.023452999889850612,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.12278337776660919,1.3057647943496704,1.3057647943496704
young_20_29,156484,2918,congruent,3,3,3,True,3,0.03,0.5282950250373906,0.13173559308052063,0.0849732756614685,0.046762317419052124,0,3,False,False,0.09590989351272583,0.024090106487274165,-1,,DIRECT CORRECT,False,,,0.0,OTHER,0.1231183335185051,1.9374216794967651,1.9374216794967651
young_20_29,146213,5675,incongruent,1,0,1,True,34,0.34,0.9191936378277403,0.12477787584066391,0.06792726367712021,0.0568506121635437,0,0,True,True,0.10075245052576065,0.019247549474239345,14,0.14,WRONG-ENTRY -> PRE-COMMITMENT CORRECTED,False,,,-0.23869499564170837,SLOW CORRECT,0.12235278636217117,0.18983276188373566,0.42852774262428284
