source,seed_id,analysis_group,user_id,congruency,rt_bin,n_trials,mean_rt,median_rt,error_rate,scheme
model,5,older_80_89,3403,0,4,127,1.1579539831690229,1.1230801594185054,0.0,raw
model,5,older_80_89,3403,1,1,127,0.7774118807816672,0.7987599920237302,0.11811023622047244,raw
model,5,older_80_89,3403,1,2,126,1.0240205022214863,1.0269275147060317,0.0873015873015873,raw
model,5,older_80_89,3403,1,3,126,1.193407275814803,1.1827467461949794,0.047619047619047616,raw
model,5,older_80_89,3403,1,4,126,1.4655122682446344,1.42621965538599,0.047619047619047616,raw
model,5,older_80_89,2410,1,1,156,0.7989029884051461,0.8265858824894513,0.12179487179487179,raw
model,5,older_80_89,2410,1,2,155,1.0375263153664247,1.0442942991697244,0.04516129032258064,raw
model,5,older_80_89,2410,1,3,155,1.2191805673345972,1.2208661533825274,0.05161290322580645,raw
model,5,older_80_89,2410,1,4,155,1.4960262725378801,1.4534616548214672,0.012903225806451613,raw
model,6,young_20_29,2918,0,1,163,0.42190018999492307,0.4330810452895403,0.012269938650306749,raw
model,6,young_20_29,2918,0,2,162,0.5439195463124991,0.5413647521292333,0.012345679012345678,raw
model,6,young_20_29,2918,0,3,162,0.6273067640995726,0.6282918007040765,0.024691358024691357,raw
model,6,young_20_29,2918,0,4,162,0.758793569176864,0.7421614470004018,0.018518518518518517,raw
model,6,young_20_29,2918,1,1,162,0.6027649233032578,0.6235410374363412,0.37037037037037035,raw
model,6,young_20_29,2918,1,2,162,0.7747335650825886,0.7749120861138348,0.09876543209876543,raw
model,6,young_20_29,2918,1,3,162,0.8878908147237129,0.8851559762543899,0.05555555555555555,raw
model,6,young_20_29,2918,1,4,162,1.044355515645296,1.0216522525612342,0.006172839506172839,raw
model,6,young_20_29,899,1,1,26,0.6224389840995508,0.6484929563602102,0.3076923076923077,raw
model,6,young_20_29,899,1,2,25,0.7629275890639883,0.7621741584187004,0.12,raw
model,6,young_20_29,899,1,3,25,0.8935688841313175,0.8981527625145282,0.16,raw
model,6,young_20_29,899,1,4,25,1.0604476271028584,1.0386630389485318,0.0,raw
