candidate_id,scheme,seed_id,analysis_group,congruency,accuracy,n_human,n_model,human_median_rt,model_median_rt,wasserstein_s
current_evidence__saved_gate_execution,raw,4,older_80_89,1,correct,2394,2349,0.9404999911785126,1.125874552417711,0.16986010908689333
current_evidence__saved_gate_execution,raw,4,older_80_89,1,error,97,142,0.7599999904632568,0.9319317749166827,0.17938647602365587
current_evidence__saved_gate_execution,raw,5,young_20_29,0,all,2502,2502,0.5600000023841858,0.5902901748897873,0.036964742638208474
current_evidence__saved_gate_execution,raw,5,young_20_29,0,correct,2457,2456,0.5609999895095825,0.5906775780454373,0.03725284289148126
current_evidence__saved_gate_execution,raw,5,young_20_29,0,error,45,46,0.5450000166893005,0.5670516899884164,0.03817422660487479
current_evidence__saved_gate_execution,raw,5,young_20_29,1,all,2498,2498,0.6039999723434448,0.8266053703501874,0.20822808650738162
current_evidence__saved_gate_execution,raw,5,young_20_29,1,correct,2290,2157,0.609000027179718,0.8453247523239124,0.22541493289344838
current_evidence__saved_gate_execution,raw,5,young_20_29,1,error,208,341,0.5509999990463257,0.6815184712412806,0.12868194754206164
current_evidence__saved_gate_execution,raw,5,older_80_89,0,all,2509,2509,0.8230000138282776,0.8083831768868801,0.0790537393194882
current_evidence__saved_gate_execution,raw,5,older_80_89,0,correct,2484,2483,0.8230000138282776,0.8084205061689197,0.0816552921008191
current_evidence__saved_gate_execution,raw,5,older_80_89,0,error,25,26,0.6899999976158142,0.7738664946249767,0.1818571550090771
current_evidence__saved_gate_execution,raw,5,older_80_89,1,all,2491,2491,0.9330000281333924,1.1188356651883198,0.16670419822931112
current_evidence__saved_gate_execution,raw,5,older_80_89,1,correct,2394,2331,0.9404999911785126,1.1281982365560008,0.17052689629704046
current_evidence__saved_gate_execution,raw,5,older_80_89,1,error,97,160,0.7599999904632568,0.946931726596595,0.182330770024557
current_evidence__saved_gate_execution,raw,6,young_20_29,0,all,2502,2502,0.5600000023841858,0.5879752985669287,0.03757844026855092
current_evidence__saved_gate_execution,raw,6,young_20_29,0,correct,2457,2453,0.5609999895095825,0.5874697833493192,0.03754913722121618
current_evidence__saved_gate_execution,raw,6,young_20_29,0,error,45,49,0.5450000166893005,0.6106560570638077,0.043232211940088264
current_evidence__saved_gate_execution,raw,6,young_20_29,1,all,2498,2498,0.6039999723434448,0.8306759699433959,0.20988011895974595
current_evidence__saved_gate_execution,raw,6,young_20_29,1,correct,2290,2163,0.609000027179718,0.8536447377819997,0.22870755337959586
current_evidence__saved_gate_execution,raw,6,young_20_29,1,error,208,335,0.5509999990463257,0.6636523749485063,0.11623456939603755
current_evidence__saved_gate_execution,raw,6,older_80_89,0,all,2509,2509,0.8230000138282776,0.80577543138478,0.07943771225360474
current_evidence__saved_gate_execution,raw,6,older_80_89,0,correct,2484,2491,0.8230000138282776,0.80577543138478,0.08248289451427068
current_evidence__saved_gate_execution,raw,6,older_80_89,0,error,25,18,0.6899999976158142,0.8017723085598178,0.22634812707906365
current_evidence__saved_gate_execution,raw,6,older_80_89,1,all,2491,2491,0.9330000281333924,1.1190431968930767,0.16910619674147973
current_evidence__saved_gate_execution,raw,6,older_80_89,1,correct,2394,2339,0.9404999911785126,1.1281990337752474,0.17059115770477035
current_evidence__saved_gate_execution,raw,6,older_80_89,1,error,97,152,0.7599999904632568,0.9578905851011565,0.20686071111016896
current_evidence__saved_gate_execution,raw,7,young_20_29,0,all,2502,2502,0.5600000023841858,0.5876532669179668,0.038099454597147385
current_evidence__saved_gate_execution,raw,7,young_20_29,0,correct,2457,2447,0.5609999895095825,0.5876701351933016,0.03835230999446171
current_evidence__saved_gate_execution,raw,7,young_20_29,0,error,45,55,0.5450000166893005,0.578215631081902,0.03645725080492697
current_evidence__saved_gate_execution,raw,7,young_20_29,1,all,2498,2498,0.6039999723434448,0.8321507225789281,0.20993486786534715
current_evidence__saved_gate_execution,raw,7,young_20_29,1,correct,2290,2169,0.609000027179718,0.8508726342231424,0.22681129119240306
current_evidence__saved_gate_execution,raw,7,young_20_29,1,error,208,329,0.5509999990463257,0.6763728199966504,0.12433151507837811
current_evidence__saved_gate_execution,raw,7,older_80_89,0,all,2509,2509,0.8230000138282776,0.8060494107487897,0.07803423258255149
current_evidence__saved_gate_execution,raw,7,older_80_89,0,correct,2484,2493,0.8230000138282776,0.8060297990243939,0.08094229525763169
current_evidence__saved_gate_execution,raw,7,older_80_89,0,error,25,16,0.6899999976158142,0.8418507661393946,0.2304562282147305
current_evidence__saved_gate_execution,raw,7,older_80_89,1,all,2491,2491,0.9330000281333924,1.116054807992004,0.16529245915622623
current_evidence__saved_gate_execution,raw,7,older_80_89,1,correct,2394,2351,0.9404999911785126,1.12529696748242,0.16860383505179938
current_evidence__saved_gate_execution,raw,7,older_80_89,1,error,97,140,0.7599999904632568,0.9294284808675926,0.16731046992099
current_evidence__saved_gate_execution,raw,8,young_20_29,0,all,2502,2502,0.5600000023841858,0.5887187646174794,0.03748736613865818
current_evidence__saved_gate_execution,raw,8,young_20_29,0,correct,2457,2442,0.5609999895095825,0.5887187646174794,0.03767308731668353
current_evidence__saved_gate_execution,raw,8,young_20_29,0,error,45,60,0.5450000166893005,0.5797568359889915,0.033468001433196524
