null_model,simulation,transition,population_mean_risk_difference
participant_current_condition_only,97,I_to_C,0.0017869635619532235
participant_current_condition_only,97,C_to_I,0.0027836741511517204
participant_current_condition_only,97,I_to_I,0.002764697299554668
participant_current_condition_only,98,C_to_C,0.0018348735209380396
participant_current_condition_only,98,I_to_C,0.0013237442389750645
participant_current_condition_only,98,C_to_I,6.085753715390052e-05
participant_current_condition_only,98,I_to_I,0.002126731756134285
participant_current_condition_only,99,C_to_C,0.0024224647694344793
participant_current_condition_only,99,I_to_C,0.0006253907753932809
participant_current_condition_only,99,C_to_I,0.002820299799255602
participant_current_condition_only,99,I_to_I,0.0023837694005089723
participant_current_condition_only,100,C_to_C,0.002534949923414859
participant_current_condition_only,100,I_to_C,0.000534993886164886
participant_current_condition_only,100,C_to_I,0.004304902223900675
participant_current_condition_only,100,I_to_I,0.004628757777454229
participant_current_condition_only,101,C_to_C,0.0005519680769456389
participant_current_condition_only,101,I_to_C,0.0006599660798174741
participant_current_condition_only,101,C_to_I,0.004280762273119585
participant_current_condition_only,101,I_to_I,0.00243167783140373
participant_current_condition_only,102,C_to_C,0.00044944485129988276
participant_current_condition_only,102,I_to_C,0.0006668723196014904
participant_current_condition_only,102,C_to_I,0.0035726612139397886
participant_current_condition_only,102,I_to_I,0.00380648328504911
participant_current_condition_only,103,C_to_C,0.0007957833356006097
participant_current_condition_only,103,I_to_C,0.001768697301407588
participant_current_condition_only,103,C_to_I,0.005771641838647512
participant_current_condition_only,103,I_to_I,0.0016841654080918089
participant_current_condition_only,104,C_to_C,0.0018179366434574295
participant_current_condition_only,104,I_to_C,0.0005408324317467415
participant_current_condition_only,104,C_to_I,0.005341971675628514
participant_current_condition_only,104,I_to_I,0.0023306861567092166
participant_current_condition_only,105,C_to_C,0.000977595489015019
participant_current_condition_only,105,I_to_C,0.001133011348576747
participant_current_condition_only,105,C_to_I,0.0028003884597287564
participant_current_condition_only,105,I_to_I,0.0010061208466346225
participant_current_condition_only,106,C_to_C,0.0012425188902057249
participant_current_condition_only,106,I_to_C,0.0007808698293446944
participant_current_condition_only,106,C_to_I,0.003897724467743556
participant_current_condition_only,106,I_to_I,0.001609810405527979
participant_current_condition_only,107,C_to_C,0.0018405521829726874
participant_current_condition_only,107,I_to_C,0.0003692205787616109
participant_current_condition_only,107,C_to_I,0.004740479784889166
participant_current_condition_only,107,I_to_I,0.002081337558518155
participant_current_condition_only,108,C_to_C,0.0011507778940853563
participant_current_condition_only,108,I_to_C,0.0004628208394307772
participant_current_condition_only,108,C_to_I,0.0034803814466476033
participant_current_condition_only,108,I_to_I,0.0013450362312271427
participant_current_condition_only,109,C_to_C,0.0013001450625455319
participant_current_condition_only,109,I_to_C,0.0009543752067151399
participant_current_condition_only,109,C_to_I,0.005512735256042686
participant_current_condition_only,109,I_to_I,0.0018402012704706956
participant_current_condition_only,110,C_to_C,0.001258722203898554
participant_current_condition_only,110,I_to_C,0.0010433518738423094
participant_current_condition_only,110,C_to_I,0.0007699520163788487
participant_current_condition_only,110,I_to_I,0.0010227343883375407
participant_current_condition_only,111,C_to_C,0.0009484008083005611
participant_current_condition_only,111,I_to_C,0.00016328444460423494
participant_current_condition_only,111,C_to_I,0.006434915063573299
participant_current_condition_only,111,I_to_I,0.0009844921998884495
participant_current_condition_only,112,C_to_C,0.0015970214438235854
participant_current_condition_only,112,I_to_C,0.00013055805705008264
participant_current_condition_only,112,C_to_I,0.004748087944250722
participant_current_condition_only,112,I_to_I,0.0033015921249671537
participant_current_condition_only,113,C_to_C,0.0008363288027876418
participant_current_condition_only,113,I_to_C,-0.00022722834467629784
participant_current_condition_only,113,C_to_I,0.0005805852372603561
participant_current_condition_only,113,I_to_I,0.0022713571725948745
participant_current_condition_only,114,C_to_C,0.0007016582794181969
participant_current_condition_only,114,I_to_C,0.0007726560558011957
participant_current_condition_only,114,C_to_I,0.002318022834789819
participant_current_condition_only,114,I_to_I,0.0030092437721156748
participant_current_condition_only,115,C_to_C,0.0003978512486200073
participant_current_condition_only,115,I_to_C,0.0010402710405608795
participant_current_condition_only,115,C_to_I,0.0060218975611004855
participant_current_condition_only,115,I_to_I,0.003313278738735857
participant_current_condition_only,116,C_to_C,0.0002406223357943613
participant_current_condition_only,116,I_to_C,0.001293265026394524
participant_current_condition_only,116,C_to_I,0.006838216197237626
participant_current_condition_only,116,I_to_I,0.0012514958492463382
participant_current_condition_only,117,C_to_C,0.0005054069526010929
participant_current_condition_only,117,I_to_C,0.0008986429849644104
participant_current_condition_only,117,C_to_I,0.002320409222769433
participant_current_condition_only,117,I_to_I,0.0020202661416096703
participant_current_condition_only,118,C_to_C,0.0019552384352446717
participant_current_condition_only,118,I_to_C,0.0010293298809630638
participant_current_condition_only,118,C_to_I,0.0036525075571805297
participant_current_condition_only,118,I_to_I,0.0034460529472862497
participant_current_condition_only,119,C_to_C,0.0022635098338484438
participant_current_condition_only,119,I_to_C,0.0010624255073983973
participant_current_condition_only,119,C_to_I,0.004959331248915736
participant_current_condition_only,119,I_to_I,0.002464090150722853
participant_current_condition_only,120,C_to_C,-6.125255285052114e-05
participant_current_condition_only,120,I_to_C,0.0011028740624206897
participant_current_condition_only,120,C_to_I,0.004449586288474502
participant_current_condition_only,120,I_to_I,0.0013010118282952906
participant_current_condition_only,121,C_to_C,0.00018842278017174363
participant_current_condition_only,121,I_to_C,0.0010729909963573428
participant_current_condition_only,121,C_to_I,0.002387946583763358
participant_current_condition_only,121,I_to_I,0.00037997863106935313
