analysis_group,replicate,time,target_state,flanker_state,noise_ampa
young_20_29,4,0.7000000000000001,0.4353922,0.045037284,0.003
young_20_29,4,0.71,0.4487078,0.043858033,0.003
young_20_29,4,0.72,0.46461487,0.042814758,0.003
young_20_29,4,0.73,0.4805321,0.041929398,0.003
young_20_29,4,0.74,0.49561268,0.04072188,0.003
young_20_29,4,0.75,0.5084966,0.03987078,0.003
young_20_29,4,0.76,0.52144104,0.039147425,0.003
young_20_29,4,0.77,0.5351506,0.03815323,0.003
young_20_29,4,0.78,0.5353841,0.037637126,0.003
young_20_29,4,0.79,0.53662467,0.03730123,0.003
young_20_29,5,0.0,0.10009468,0.10217855,0.003
young_20_29,5,0.01,0.099914305,0.10304174,0.003
young_20_29,5,0.02,0.09976137,0.10518353,0.003
young_20_29,5,0.03,0.100347415,0.107006155,0.003
young_20_29,5,0.04,0.100841045,0.10820263,0.003
young_20_29,5,0.05,0.10221562,0.109288335,0.003
young_20_29,5,0.06,0.10249673,0.11156192,0.003
young_20_29,5,0.07,0.10350464,0.1115748,0.003
young_20_29,5,0.08,0.104053736,0.1111501,0.003
young_20_29,5,0.09,0.106679805,0.11004216,0.003
young_20_29,5,0.1,0.10801194,0.108377084,0.003
young_20_29,5,0.11,0.11007515,0.10747168,0.003
young_20_29,5,0.12,0.11233993,0.10713263,0.003
young_20_29,5,0.13,0.1130613,0.1063674,0.003
young_20_29,5,0.14,0.11462416,0.10575497,0.003
young_20_29,5,0.15,0.116630286,0.10546438,0.003
young_20_29,5,0.16,0.11929781,0.10579001,0.003
young_20_29,5,0.17,0.12232941,0.10496327,0.003
young_20_29,5,0.18,0.124110006,0.10415814,0.003
young_20_29,5,0.19,0.12504224,0.103376135,0.003
young_20_29,5,0.2,0.12660562,0.103050604,0.003
young_20_29,5,0.21,0.1303064,0.10187973,0.003
young_20_29,5,0.22,0.13187246,0.099935815,0.003
young_20_29,5,0.23,0.13481796,0.09906227,0.003
young_20_29,5,0.24,0.1362331,0.096474044,0.003
young_20_29,5,0.25,0.1412323,0.09547491,0.003
young_20_29,5,0.26,0.14441085,0.094827145,0.003
young_20_29,5,0.27,0.14676228,0.09328825,0.003
young_20_29,5,0.28,0.149426,0.09178137,0.003
young_20_29,5,0.29,0.15247265,0.09009814,0.003
young_20_29,5,0.3,0.15465821,0.08854363,0.003
young_20_29,5,0.31,0.15841572,0.087518334,0.003
young_20_29,5,0.32,0.16325665,0.08617743,0.003
young_20_29,5,0.33,0.16601567,0.08439839,0.003
young_20_29,5,0.34,0.17177501,0.08322419,0.003
young_20_29,5,0.35000000000000003,0.175849,0.082105115,0.003
young_20_29,5,0.36,0.17919156,0.08117327,0.003
young_20_29,5,0.37,0.18210487,0.079902545,0.003
young_20_29,5,0.38,0.18713073,0.07897884,0.003
young_20_29,5,0.39,0.19150904,0.07747322,0.003
young_20_29,5,0.4,0.1952566,0.076140165,0.003
young_20_29,5,0.41000000000000003,0.2015737,0.07502979,0.003
young_20_29,5,0.42,0.20739037,0.073516175,0.003
young_20_29,5,0.43,0.21291684,0.07160769,0.003
young_20_29,5,0.44,0.21995199,0.07082371,0.003
young_20_29,5,0.45,0.22611716,0.06943393,0.003
young_20_29,5,0.46,0.23491369,0.06763737,0.003
young_20_29,5,0.47000000000000003,0.24135758,0.06655376,0.003
young_20_29,5,0.48,0.24696784,0.06488082,0.003
young_20_29,5,0.49,0.25657207,0.0636673,0.003
young_20_29,5,0.5,0.26348293,0.062764525,0.003
young_20_29,5,0.51,0.27585462,0.06201377,0.003
young_20_29,5,0.52,0.285088,0.060535673,0.003
young_20_29,5,0.53,0.29139486,0.059980392,0.003
young_20_29,5,0.54,0.3022099,0.05838643,0.003
young_20_29,5,0.55,0.31066233,0.056685004,0.003
young_20_29,5,0.56,0.32069078,0.055422086,0.003
young_20_29,5,0.5700000000000001,0.33081457,0.054338202,0.003
young_20_29,5,0.58,0.33972752,0.05399718,0.003
young_20_29,5,0.59,0.35228425,0.05320617,0.003
young_20_29,5,0.6,0.36133432,0.052171435,0.003
young_20_29,5,0.61,0.37106177,0.050999645,0.003
young_20_29,5,0.62,0.3834501,0.049904,0.003
young_20_29,5,0.63,0.39687574,0.04891669,0.003
young_20_29,5,0.64,0.41026756,0.047814775,0.003
